anunciante,area_privativa,area_total,atualizacao,bairro,banheiros,cidade,cod_imovel,creci,data_publicacao,dce,endereco,garagem,idade_imovel,quartos,suites,url,valor_condominio,valor_imovel,valor_iptu,valor_mt2
MODULOS CONSULTORIA E GERENCIAMENTO IMOBILIARIO LTDA ME,92,114,,Asa Norte,2,Brasília,2565052760,05004-J-DF,,,SQN 216 Bloco K,[1],,2,[1],https://www.vivareal.com.br/imovel/apartamento-2-quartos-asa-norte-bairros-brasilia-com-garagem-92m2-venda-RS920000-id-2565052760/,800,920000,318,
PS IMOVEIS SERVIÇOS IMOBILIARIOS,60,60,,Sul,2,Brasília,2562208503,22904-F-DF,,,Rua 34,[2],,2,,https://www.vivareal.com.br/imovel/apartamento-2-quartos-sul-bairros-brasilia-com-garagem-60m2-venda-RS680000-id-2562208503/,600,680000,1000,
LUIZ CLÁUDIO SOARES DE ARAÚJO,165,,,Norte,5,Brasília,2564683985,11145-F-DF,,,Rua das Paineiras,[3],,4,[3],https://www.vivareal.com.br/imovel/apartamento-4-quartos-norte-bairros-brasilia-com-garagem-165m2-venda-RS1400000-id-2564683985/,0,1400000,0,
Vania Alves,54,54,,Riacho Fundo I,2,Brasília,2560675489,13364-F-DF,,,Avenida Sucupira,[0],,2,[1],https://www.vivareal.com.br/imovel/apartamento-2-quartos-riacho-fundo-i-bairros-brasilia-54m2-venda-RS125000-id-2560675489/,0,125000,0,
Sílvio S. Costa,43,50,,Setor Central,1,Brasília,2554675604,,,,Quadra 55,[1],,2,[0],https://www.vivareal.com.br/imovel/apartamento-2-quartos-setor-central-bairros-brasilia-com-garagem-43m2-venda-RS165000-id-2554675604/,420,165000,360,
Lauro Lobo Imóveis,48,,,Ceilandia Norte,1,Brasília,2565694786,,,,QNN 11,[1],,2,[1],https://www.vivareal.com.br/imovel/apartamento-2-quartos-ceilandia-norte-bairros-brasilia-com-garagem-48m2-venda-RS260000-id-2565694786/,0,260000,0,
Renan Thomaz Brito de Oliveira,52,57,,Samambaia Sul,2,Brasília,2566295551,,,,QN 118 Conjunto 1,[0],,2,[0],https://www.vivareal.com.br/imovel/apartamento-2-quartos-samambaia-sul-bairros-brasilia-52m2-venda-RS125000-id-2566295551/,0,125000,0,
Amanda Vaz,64,,,Ceilandia Norte,2,Brasília,2561539306,27281-F-DF,,,QNN 11,[1],,2,[1],https://www.vivareal.com.br/imovel/apartamento-2-quartos-ceilandia-norte-bairros-brasilia-com-garagem-64m2-venda-RS54900-id-2561539306/,0,54900,0,
JESSICA MOTA IMÓVEIS,52,,,Setor Central,1,Brasília,2570320680,17941-F-DF,,,Quadra 55,[1],,2,[0],https://www.vivareal.com.br/imovel/apartamento-2-quartos-setor-central-bairros-brasilia-com-garagem-52m2-venda-RS248606-id-2570320680/,0,248606,0,
Wander Candido Goulart,106,106,,Norte,3,Brasília,2561394049,20081-F-DF,,,Rua 14,[2],,4,[4],https://www.vivareal.com.br/imovel/apartamento-4-quartos-norte-bairros-brasilia-com-garagem-106m2-venda-RS800000-id-2561394049/,0,800000,0,
FERNANDO QUEIROZ RAMOS,61,61,,Norte,2,Brasília,2558209543,,,,Rua 17,[1],,2,,https://www.vivareal.com.br/imovel/apartamento-2-quartos-norte-bairros-brasilia-com-garagem-61m2-venda-RS535000-id-2558209543/,550,535000,,
AC BARBOSA,101,150,,Guara I,3,Brasília,2570020116,,,,SQB 1 Bloco E,[2],,3,[1],https://www.vivareal.com.br/imovel/apartamento-3-quartos-guara-i-bairros-brasilia-com-garagem-101m2-venda-RS1199000-id-2570020116/,940,1199000,985,
Valdo Fernandes,42,,,Setor Sudoeste,1,Brasília,2568698312,11379-F-DF,,,SQSW 103 Bloco A,[0],,1,,https://www.vivareal.com.br/imovel/apartamento-1-quartos-setor-sudoeste-bairros-brasilia-42m2-venda-RS192000-id-2568698312/,0,192000,0,
Anderson Araujo Rodrigues - ME,46,83,,Norte,1,Brasília,2568706315,11835-F-DF,,,Rua 4,[1],,1,[0],https://www.vivareal.com.br/imovel/apartamento-1-quartos-norte-bairros-brasilia-com-garagem-46m2-venda-RS425000-id-2568706315/,450,425000,600,
ALINE ALMEIDA,43,,,Zona Industrial,2,Brasília,2553584794,20953-F-DF,,,SGCV,[1],,1,[1],https://www.vivareal.com.br/imovel/apartamento-1-quartos-zona-industrial-bairros-brasilia-com-garagem-43m2-venda-RS520000-id-2553584794/,520,520000,0,
