anunciante,area_privativa,area_total,atualizacao,bairro,banheiros,cidade,cod_imovel,creci,data_publicacao,dce,endereco,garagem,idade_imovel,quartos,suites,url,valor_condominio,valor_imovel,valor_mt2
ANA CRISTINA CORRETORA DE IMOVEIS,80,80,2022-05-26,Águas Claras,2,Brasília,2964513018,10701-DF,,,,2,14,3,1,https://www.wimoveis.com.br/propriedades/espetacular-apartamento!-reformado-3-quartos.-estudo-2964513018.html,652,730.000,
THAIS IMOBILIÁRIA VENDAS,289,300,2022-07-02,Águas Claras,6,Brasília,2963901646,,,,Quadra 204 9,4,,4,4,https://www.wimoveis.com.br/propriedades/quadra-206-lote-09-sagitarius-residencial-resort-2963901646.html,1980,2.890.000,
MÁRCIO SANCHES CORRETOR DE IMÓVEIS,142,142,2022-05-28,Águas Claras,3,Brasília,2959749402,21636,,,QUADRA 103  lote 03,2,16,3,1,https://www.wimoveis.com.br/propriedades/apartamento-03-quartos-142-m-sup2--reformado-03-2959749402.html,870,1.080.000,
IMOBILIÁRIA NOBLE,38,38,2022-06-16,Águas Claras,1,Brasília,2966347798,23545 J,,,Rua 36,,10,1,,https://www.wimoveis.com.br/propriedades/apartamento-no-residencial-moove-em-aguas-claras.-2966347798.html,,319.000,
NOROESTEIMOB,133,133,2022-06-15,Águas Claras,4,Brasília,2958164031,27229,,,AVENIDA PARQUE ÁGUAS CLARAS ,3,1,3,3,https://www.wimoveis.com.br/propriedades/agio-de-incrivel-3-suites-vazado-e-com-vista-livre-pro-2958164031.html,,590.000,
DANI CINTRA,94,94,2022-06-28,Águas Claras,2,Brasília,2966501856,26049,,,Q. 209 lote 6 - Águas Claras,2,7,3,1,https://www.wimoveis.com.br/propriedades/-solar-montparnasse-aguas-claras-03-quartos-01-2966501856.html,700,750.000,
Trisul,,,2022-05-31,Pompéia,,São Paulo,2950755696,12345566,,,"Avenida Pompéia, 2210",,,,,https://www.wimoveis.com.br/propriedades/apartamento-pompeia-boreal-madalena-2950755696.html,,,
Trisul,,,2022-06-13,Alto de Pinheiros,,São Paulo,2950756051,12345566,,,"Rua Dardanelos , 488",,,,,https://www.wimoveis.com.br/propriedades/apartamento-no-alto-de-pinheiros-sonare-alto-de-2950756051.html,,,
Trisul,,,2022-05-31,Pinheiros,,São Paulo,2959464002,12345566,,,"Rua Capote Valente, 65 							",,,,,https://www.wimoveis.com.br/propriedades/apartamento-pinheiros-valen-capote-valente-2959464002.html,,,
Even,,,2022-06-07,Pinheiros,,São Paulo,2948633063,1234,,,"Rua João Moura, 502 ",,,,,https://www.wimoveis.com.br/propriedades/apartamento-em-pinheiros-clari-pinheiros-2948633063.html,,3.419.500,
AO CUBO IMOBILIARIA ,,,2022-06-13,Vila Romana,,São Paulo,2966100909,,,,"Catão, 876 ",,,,,https://www.wimoveis.com.br/propriedades/apartamento-vila-romana-panorama-2966100909.html,,2.312.907,
DANI CINTRA,94,94,2022-06-28,Águas Claras,2,Brasília,2966501856,26049,,,Q. 209 lote 6 - Águas Claras,2,7,3,1,https://www.wimoveis.com.br/propriedades/-solar-montparnasse-aguas-claras-03-quartos-01-2966501856.html,700,750.000,
MARIA FERREIRA - CORRETORA DE IMOVEIS,56,56,2022-06-26,Águas Claras,2,Brasília,2966487160,12407,,,,1,10,2,1,https://www.wimoveis.com.br/propriedades/excelente-apartamento-02-quartos-vista-livre-com-2966487160.html,,480.000,
Nova Inteligência Imobiliária,54,54,2022-07-02,Águas Claras,1,Brasília,2957067482,CJ - 25228,,,"R. 13 Norte, Citta Residence Lotes 1 e 3 Rua 14 Lotes 2 e 4",1,5,2,1,https://www.wimoveis.com.br/propriedades/apartamento-2-quartos-andar-alto-citta-residence-2957067482.html,540,475.000,
ANTONIO FILHO IMOBILIARIA,60,80,2022-07-02,Águas Claras,2,Brasília,2963125878,6494,,,Rua 7 Sul 0,1,,2,1,https://www.wimoveis.com.br/propriedades/mirante-prime-2-quartos-com-varanda-nascente-2963125878.html,500,520.000,
ANTONIO FILHO IMOBILIARIA,110,110,2022-07-02,Águas Claras,4,Brasília,2964590103,6494,,,Rua das Figueiras 5,1,,3,3,https://www.wimoveis.com.br/propriedades/soffisticato-lofts-amp--living-reformado-3-suites-2964590103.html,600,870.000,
Bruce Imóveis,66,66,2022-05-26,Águas Claras,2,Brasília,2965648923,17007,,,qd 301,1,10,3,1,https://www.wimoveis.com.br/propriedades/apartamento-3-quartos-aguas-claras-qd-301-reformado-2965648923.html,500,419.000,
Patricia Barbosa - Corretora de Imoveis,45,45,2022-06-28,Águas Claras,1,Brasília,2964461630,10902,,,AVENIDA DAS FIGUEIRAS 0,1,11,1,1,https://www.wimoveis.com.br/propriedades/a-venda-1-quarto-aguas-claras-residencial-athenas-2964461630.html,460,275.000,
Evandro Rodrigues Corretor de Imóveis,162,280,2022-06-22,Águas Claras,3,Brasília,2958850553,20348,,,QUADRA 205,2,15,4,1,https://www.wimoveis.com.br/propriedades/quadra-205-apartamento-04qts-vazado-vista-livre-2958850553.html,950,1.080.000,
Nova Inteligência Imobiliária,183,183,2022-07-02,Águas Claras,4,Brasília,2963296376,CJ - 25228,,,"Av. das Araucárias, Península Lazer e Urbanismo Lotes 2, 4, 6, 8 e 10",3,9,3,2,https://www.wimoveis.com.br/propriedades/apartamento-3-quartos-andar-alto-peninsula-lazer-e-2963296376.html,814,1.690.000,
Imobiliaria Coutinho,85,85,2022-06-28,Águas Claras,2,Brasília,2966520729,,,,"R. 36 Norte, 3350 ",2,3,3,1,https://www.wimoveis.com.br/propriedades/apartamento-a-venda-aguas-claras-top-life-2966520729.html,600,575.000,
PILOTIS IMOBILIÁRIA,80,132,2022-07-02,Águas Claras,2,Brasília,2966630677,22309JDF,,,Rua 09 Note ,1,,3,1,https://www.wimoveis.com.br/propriedades/excelente-apartamento-em-aguas-claras!-2966630677.html,785,730.000,
TADEU SANTIAGO CONSULTOR IMOBILIÁRIO CRECI: 9056,132,132,2022-06-10,Águas Claras,3,Brasília,2966137674,9056/DF,,,Quadra 104,1,10,4,1,https://www.wimoveis.com.br/propriedades/otimo-apartamento-localizado-na-quadra-104-aguas-2966137674.html,830,830.000,
Rilley Erick - Corretor de Imóveis,92,171,2022-07-01,Águas Claras,2,Brasília,2966305164,16191,,,Rua Babaçu Lote 3 Res. Art Life Design,2,7,3,1,https://www.wimoveis.com.br/propriedades/art-life-design-3-quartos-escritorio:-visite-hoje-2966305164.html,485,855.000,
PeB imóveis,42,42,2022-06-07,Águas Claras,1,Brasília,2964648386,24667,,,Rua 7 Norte Rua 7 Norte,1,1,1,,https://www.wimoveis.com.br/propriedades/apartamento-1-quarto-max-home-mall-aguas-claras-2964648386.html,363,395.000,
JWA CORRETORES ASSOCIADOS,33,33,2022-06-07,Águas Claras,1,Brasília,2957925471,26931,,,Rua das Aroeiras Palladium Residence 2º andar,1,10,1,1,https://www.wimoveis.com.br/propriedades/palladium-residence-33-m-01-quarto-mobiliado-2957925471.html,420,190.000,
AO CUBO IMOBILIARIA ,,,2022-06-09,Pinheiros,,São Paulo,2966051545,,,,Rua Alves Guimarães 170. Pinheiros - São Paulo/SP ,,,,,https://www.wimoveis.com.br/propriedades/apartamento-pinheiros-limited-pinheiros-2966051545.html,,483.825,
AO CUBO IMOBILIARIA ,,,2022-06-13,Vila Ipojuca,,São Paulo,2966215653,,,,Rua Camburiú 177,,,,,https://www.wimoveis.com.br/propriedades/apartamento-e-studio-vila-ipojuca-metrocasa-alto-de-2966215653.html,,187.950,
AO CUBO IMOBILIARIA ,,,2022-06-14,Vila Romana,,São Paulo,2966255045,,,,"R. Scipião, 238",,,,,https://www.wimoveis.com.br/propriedades/apartamento-e-studio-vila-romana-welconx-vila-romana-2966255045.html,,285.119,
