anunciante,area_privativa,area_total,atualizacao,bairro,banheiros,cidade,cod_imovel,creci,data_publicacao,dce,endereco,garagem,idade_imovel,quartos,suites,url,valor_condominio,valor_imovel,valor_mt2
GALENO CONSULTOR IMOBILIÁRIO,125,134,2022-07-02,Asa Sul,3,Brasília,2964893889,14522,,,SQS 315 Bloco B Asa Sul,,57,3,1,/propriedades/apartamento-de-3-quartos-suite-closet-dce-vazado-2964893889.html,700,1.450.000,
Cabral Imóveis,79,79,2022-06-21,Asa Sul,2,Brasília,2963229815,24018,,,SHCS 210 - ASA SUL ,,10,2,,/propriedades/belissimo-apartamento-asa-sul-2-quartos-2963229815.html,900,1.080.000,
Elenio - 1ML | 1 Million Listings - Imóveis ⋄ Interiores ⋄ SMART Home,110,110,2022-06-30,Asa Sul,2,Brasília,2966423930,,,,"SQS 303, 0, 0 3 Quartos Reformado Quadra Apto",1,29,3,1,/propriedades/sqs-303-style-.mt-8-border:-8px-solid-2966423930.html,1000,1.277.000,
ADRIANO MD,57,57,2022-06-30,Asa Sul,2,Brasília,2966487727,Creci 25937/DF,,,SQS 413 ASA SUL,,17,2,,/propriedades/sqs-413-2966487727.html,400,459.000,
SMART IMOB ,131,131,2022-07-02,Asa Sul,2,Brasília,2965499140,24786,,,Quadra SQS 105 0,1,,3,1,/propriedades/sqs-105-3-quartos-garagem-asa-sul-2965499140.html,,1.490.000,
COEMI IMÓVEIS.,157,157,2022-07-02,Asa Sul,3,Brasília,2949031175,3545,,,Quadra SQS 114 0,1,22,3,1,/propriedades/sqs-114-apartamento-a-venda-3-quartos-sendo-1-2949031175.html,1300,1.760.000,
Jairo Nascimento CRECI DF 22873,162,257,2022-06-22,Asa Sul,2,Brasília,2966193165,22873,,,SQS 216 Bloco K,,15,3,1,/propriedades/sqs-216-apartamento-162-m-sup2--sexto-andar-2966193165.html,,1.900.000,
Euclides Franco,77,77,2022-07-02,Asa Sul,2,Brasília,2966089551,8356,,,SQS 404 ASA SUL,,6,3,,/propriedades/sqs-404-asa-sul-3-quartos-reformado-77-m-sup2--vista-2966089551.html,759,840.000,
Esmeralda Rodrigues dos Santos,50,50,2022-07-01,Asa Sul,1,Brasília,2966198826,13978,,,Trecho SCES Trecho 4 0,1,,1,1,/propriedades/apartamento-mobiliado-no-brisas-do-lago-r$670.000-2966198826.html,872,670.000,
KOJIMA IMOVEIS,140,1000,2022-07-02,Asa Sul,3,Brasília,2965158172,17954,,,Quadra SQS 109,2,40,3,1,/propriedades/sqs-109-asa-sul-3-quartos-sendo-1-suite-reformado-2-2965158172.html,1300,1.950.000,
Fulvio Freire Escritório Imobiliário,235,235,2022-07-01,Asa Sul,,Brasília,2959971648,25717,,,QUADRA SQS 106 BLOCO I,,62,4,1,/propriedades/apartamento-alto-padrao-na-asa-sul-2959971648.html,1300,2.300.000,
THAIS IMOBILIÁRIA VENDAS,157,157,2022-07-01,Asa Sul,2,Brasília,2956281699,,,,Quadra SQS 114 Bloco H 0,1,,3,,/propriedades/sqs-114-bloco-h-asa-sul-proximo-ao-metro-2956281699.html,890,2.500.000,
THAIS IMOBILIÁRIA VENDAS,46,77,2022-07-01,Asa Sul,1,Brasília,2954729933,,,,Quadra SHS Quadra 6 0,,,1,,/propriedades/flat-com-1-dormitorio-a-venda-46-m-sup2--por-2954729933.html,1100,327.500,
 TAU CONSTRUTORA & IMOBILIÁRIA ,168,265,2022-06-29,Asa Sul,4,Brasília,2966207449,25000,,,"Qd Sqs 216,",1,,3,1,/propriedades/sqs-216-reformado-nascente-armarios-2966207449.html,1450,1.965.000,
SMART IMOB ,110,110,2022-07-02,Asa Sul,2,Brasília,2964712982,24786,,,Quadra SQS 303 1,1,13,3,1,/propriedades/sqs-303-3-quartos-vaga-de-garagem-vista-livre-2964712982.html,,1.350.000,
