anunciante,area_privativa,area_total,atualizacao,bairro,cidade,cod_imovel,creci,data_publicacao,dce,endereco,garagem,quartos,suites,url,valor_condominio,valor_imovel,valor_mt2
Marca Empreendimentos Imobiliarios ltda,"31,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,471553,6257,,,SHN Quadra 4,,1,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shn-quadra-4-471553,,290.000,9.354
Thaís Imobiliaria,"30,00 m²"," 37,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,565601,CJ1704,,,CLN 402 Bloco C,,1,,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-cln-402-bloco-c-565601,250,250.000,8.333
Manu Netimóveis,"27,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,493694,11983,,,SGAN 911 Módulo F,1,1,,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-sgan911-modulo-f-493694,348,310.000,11.481
TAU Construtora e Imobiliária,"44,00 m²"," 44,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,526477,13252,,,SCRN 704/705 Bloco D,,1,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-scrn-704-705-bloco-d-526477,530,265.000,6.022
CBL Imóveis ,"51,00 m²"," 51,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,453698,10075,,,SCRN 704/705 Bloco D,,1,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-scrn-704-705-bloco-d-453698,530,290.000,5.686
Marcos Antonio Patrimonio Imobiliário,"70,00 m²"," 85,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,470060,CJ27154,,,SCLRN 704,,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sclrn-704-470060,340,590.000,8.428
Futura Consultoria e Negócios ,"40,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,372864,CJ24892,,,CLN 109 Bloco A,,1,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-cln-109-bloco-a-372864,350,315.000,7.875
Navarro Imobiliária,"110,00 m²"," 110,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,460744,25230,,,SQN 309 Bloco P,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-309-bloco-p-460744,1.090,1.500.000,13.636
Tatiana Amaro,"42,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,563591,20209,,,SCLRN 714,,1,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-sclrn-714-563591,,240.000,5.714
Emibra Imóveis,"35,00 m²"," 35,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,490962,986,,,CLN 316 Bloco E,,1,,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-cln-316-bloco-e-490962,,220.000,6.285
Ariete Ribas Consultoria Imobiliária,"27,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,496595,25093,,,SGAN 912,1,1,1,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-sgan-912-496595,280,250.000,9.259
Imóveis do DF,"74,00 m²"," 112,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,523910,15605,,,SCEN Trecho 1,2,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-scen-trecho-1-523910,,1.750.000,23.648
FGM Escritório imobiliário,"225,00 m²"," 338,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,485353,26758,,,SQN 303 Bloco E,3,4,3,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-303-bloco-e-485353,1.500,3.200.000,14.222
Daleprane Inteligência Imobiliária,"30,00 m²"," 30,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,495810,25937,,,SHN Quadra 5,1,1,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shn-quadra-5-495810,932,320.000,10.666
Jânio Sousa Assessoria Imobiliária,"79,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,563319,13933,,,SQN 405 Bloco A,,3,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-405-bloco-a-563319,700,750.000,9.493
4IMOB,"75,00 m²"," 75,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,516902,25942,,,CLN 411,,1,,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-cln-411-516902,,524.000,6.986
Jorge Joana,"100,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,245870,7859,,,SQN 316 Bloco B,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-316-bloco-b-245870,,1.200.000,12.000
Nilvan V. Abreu,"35,00 m²"," 35,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,277592,13974,,,SQN 313 Bloco D,,1,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-sqn-313-bloco-d-277592,200,190.000,5.428
Rose Moura,"32,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,217460,11019,,,SHN Quadra 2,,1,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shn-quadra-2-217460,,310.000,9.687
Jorge Neves,"319,93 m²"," 543,54 m²",01/07/2022,ASA NORTE,BRASÍLIA,216752,20013,,,SQN 215 Bloco D,4,4,3,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-215-bloco-d-216752,,0, 
Lamartine Imóveis,"108,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,288412,9451,,,SHCGN 708,,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-shcgn-708-288412,,980.000,9.074
61 Imóveis - Netimóveis,"95,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,425590,21418,,,SQN 105,,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-105-425590,,910.000,9.578
Jackson & Jackson,"68,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,445105,13896,,,SQN 309,1,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-309-445105,,750.000,11.029
Macedo Imoveis,"109,00 m²"," 109,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,325180,11670,,,SQN 303 Bloco J,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-303-bloco-j-325180,800,1.280.000,11.743
Rômulo Araújo Negócios Imobiliários ,"252,00 m²"," 252,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,566998,20326,,,SQN 107 Bloco H,4,4,3,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-107-bloco-h-566998,1.675,3.350.000,13.293
Lilian,"25,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,243907,11533,,,SCLRN 711,,1,1,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-sclrn-711-243907,190,170.000,6.800
Wander Goulart,"110,00 m²"," 110,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,527417,20081,,,SQN 313 Bloco B,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-313-bloco-b-527417,950,1.250.000,11.363
Rose Moura,"130,00 m²"," 180,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,523197,11019,,,SCLRN 714,,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sclrn-714-523197,,490.000,3.769
Pilotis Vendas,"44,00 m²"," 44,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,289519,22309,,,SHN Quadra 02 Bloco E,,1,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shn-quadra-02-bloco-e-289519,1.300,300.000,6.818
Patricia Frota,"95,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,559874,23158,,,SQN 312,1,3,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-312-559874,450,780.000,8.210
APG escritório imobiliário,"34,00 m²"," 34,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,519558,5548,,,SHTN Trecho 1,1,1,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shtn-trecho-1-519558,935,405.000,11.911
Exclusive Imoveis,"120,00 m²"," 120,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,569813,26600,,,SHCGN 704,1,4,1,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-shcgn-704-569813,1.300,1.280.000,10.666
Malbeck Imóveis,"79,00 m²"," 79,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,348715,19379,,,SQN 212,1,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-212-348715,610,915.000,11.582
Isa imóveis,"44,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,518467,23645,,,CLN 306 Bloco A,,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-cln-306-bloco-a-518467,300,370.000,8.409
Exclusive Imoveis,"71,00 m²"," 71,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,504186,26600,,,CLN 408 Bloco E,,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-cln-408-bloco-e-504186,90,430.000,6.056
Moni Netimoveis,"105,00 m²"," 105,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,550091,17097,,,SQN 213 Bloco H,1,3,2,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-213-bloco-h-550091,1.150,1.535.000,14.619
Smile Netimóveis,"40,00 m²"," 40,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,393809,19812,,,CLN 109 Bloco A,,1,,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-cln-109-bloco-a-393809,350,315.000,7.875
Imóveis do DF,"123,00 m²"," 168,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,569091,15605,,,SQN 108,2,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-108-569091,1.100,1.150.000,9.349
Anaiara Ribeiro,"80,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,475633,22303,,,SQN 309 Bloco B,1,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-309-bloco-b-475633,700,840.000,10.500
Paulo Alencar Imóveis,"66,79 m²",,01/07/2022,ASA NORTE,BRASÍLIA,351339,6131,,,SCRN 710/711 Bloco H,,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-scrn-710-711-bloco-h-351339,,400.000,5.988
Nilvan V. Abreu,"28,00 m²"," 30,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,327771,13974,,,SHN Quadra 1,1,1,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shn-quadra-1-327771,520,329.000,11.750
Lopes Capital,"106,00 m²"," 106,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,559474,25241,,,SQN 311 Bloco B,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-311-bloco-b-559474,,1.265.000,11.933
Unique Imob Netimóveis,"81,00 m²"," 81,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,566767,14999,,,SQN 213 Bloco I,1,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-213-bloco-i-566767,650,1.150.000,14.197
Abdala Imóveis,"98,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,204885,16964J,,,SHN Quadra 2,,1,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shn-quadra-2-204885,3.087,575.000,5.867
Beiramar Imóveis,"28,00 m²"," 28,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,367173,9486,,,SGAN 911 Módulo G,1,1,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-sgan-911-modulo-g-367173,460,300.000,10.714
Queiroz Invest,"240,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,328536,19811,,,SQN 115 Bloco A,3,4,4,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-115-bloco-a-328536,1.110,3.950.000,16.458
Arnaud Rosal Imóveis,"134,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,459529,3804,,,SCEN Trecho 1,3,4,2,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-scen-trecho-1-459529,2.500,2.750,20
Dall'Oca Imóveis ,"80,00 m²"," 80,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,455064,4883,,,SQN 212 Bloco K,1,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-212-bloco-k-455064,750,900.000,11.250
Imóveis do DF,"51,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,502310,15605,,,SHTN,1,1,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shtn-502310,1.468,640.000,12.549
Markus Ferreira ,"25,00 m²"," 25,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,560847,9735,,,SGAN 912,1,1,1,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-sgan-912-560847,,290.000,11.600
Lamartine Imóveis,"182,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,220545,9451,,,SQN 106,1,4,1,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-106-220545,,1.699.000,9.335
CBL Imóveis ,"27,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,307051,10075,,,SHN Quadra 2,1,1,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shn-quadra-2-307051,,340.000,12.592
Abadia Imóveis ,"47,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,217684,8538,,,SCLRN 712,,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sclrn-712-217684,,270.000,5.744
Bloco Imob,"51,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,498900,25854,,,SHTN,1,1,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shtn-498900,1.468,640.000,12.549
Macedo Imoveis,"128,00 m²"," 140,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,473700,11670,,,SQN 316 Bloco F,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-316-bloco-f-473700,860,1.496.000,11.687
New Home Assessoria imobiliária,"26,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,503638,28276,,,SGAN 912,1,1,1,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-sgan-912-503638,319,245.000,9.423
Bei Haus Imoveis,"34,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,540364,21316,,,SHTN Trecho 2,1,1,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shtn-trecho-2-540364,538,430.000,12.647
Bordalo PRIME Imobiliária ,"67,00 m²"," 67,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,239950,23761,,,SQN 410,,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-410-239950,420,680.000,10.149
Quadrado Imob,"134,00 m²"," 205,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,348257,26120,,,SQN 304 Bloco D,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-304-bloco-d-348257,850,1.150.000,8.582
Eliane Pinheiro Imoveis,"137,00 m²"," 160,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,522104,16018,,,SQN 112 Bloco F,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-112-bloco-f-522104,,1.700.000,12.408
Aguiar de Vasconcelos ,"36,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,515557,3277,,,SHN Quadra 5,,1,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shn-quadra-5-515557,,249.000,6.916
Diálogo,"123,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,529217,17843,,,SHCGN 713,,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-shcgn-713-529217,,1.200.000,9.756
RE/MAX Park Imob,"57,00 m²"," 57,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,410707,26606,,,SHCGN 716 Bloco M,,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-shcgn-716-bloco-m-410707,450,565.000,9.912
Augusto César Consultoria Imobiliária,"300,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,413529,25136,,,SQN 309 Bloco D,4,4,4,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-309-bloco-d-413529,3.500,3.300.000,11.000
Beiramar Imóveis,"32,00 m²"," 36,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,305623,9486,,,SCRN 712/713,,1,,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-scrn-712-713-305623,220,225.000,7.031
Gilberto Danzmann,"40,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,449209,24097,,,CLN 413,,1,,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-cln-413-449209,315,190.000,4.750
EXCELLENCE NEGÓCIOS IMOBILIÁRIOS,"101,00 m²"," 101,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,558084,25040J,,,SQN 115,,3,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-115-558084,,995.000,9.851
Guerri Investimentos Imobiliários,"25,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,560223,12641,,,SGAN 912 Módulo C,1,1,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-sgan-912-modulo-c-560223,300,290.000,11.600
61 Imóveis - Netimóveis,"102,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,481900,21418,,,SQN 312,,3,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-312-481900,650,900.000,8.823
Pilotis Vendas,"33,00 m²"," 33,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,198023,22309,,,SHN Quadra 5,,1,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shn-quadra-5-198023,1.250,279.000,8.454
Via House Prime,"300,00 m²"," 300,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,432546,28564,,,SQN 310 Bloco H,2,3,2,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-310-bloco-h-432546,,2.700.000,9.000
Buriti imóveis,"137,00 m²"," 207,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,351112,358,,,SQN 215,1,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-215-351112,,1.600.000,11.678
Paulo Bites,"40,61 m²"," 95,64 m²",01/07/2022,ASA NORTE,BRASÍLIA,183589,12243,,,SHCGN 703,1,1,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shcgn-703-183589,400,715.660,17.622
Donnä Imob,"36,72 m²",,01/07/2022,ASA NORTE,BRASÍLIA,564755,19623,,,CLN 308,,1,1,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-cln-308-564755,300,190.000,5.174
Dall'Oca Imóveis ,"55,00 m²"," 55,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,537097,4883,,,SQN 316 Bloco H,1,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-316-bloco-h-537097,587,720.000,13.090
S Randazzo Imóveis,"28,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,529301,21410,,,SHN Quadra 1 Bloco D,1,1,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shn-quadra-1-bloco-d-529301,682,285.000,10.178
Solo Empreendimentos Imobiliários,"98,88 m²",,01/07/2022,ASA NORTE,BRASÍLIA,547073,3314,,,Condomínio Ilhas do Lago,2,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-condominio-ilhas-do-lago-547073,1.942,2.050.000,20.732
DNG Imobiliária ,"40,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,417473,23418,,,CLN 109 Bloco A,,1,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-cln-109-bloco-a-417473,350,315.000,7.875
ZS Construtora,"40,00 m²"," 50,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,398069,24741,,,CLN 109,,1,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-cln-109-398069,370,315.000,7.875
Rodolfo Imóveis,"30,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,434558,CJ10842,,,SCLRN 716 Bloco C,,1,,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-sclrn-716-bloco-c-434558,150,140.000,4.666
Ju Maia,"128,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,405316,23063,,,SQN 208 Bloco J,2,4,1,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-208-bloco-j-405316,1.014,1,0
Massuh Imóveis ,"30,00 m²"," 37,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,569149,24825,,,CLN 307,,1,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-cln-307-569149,200,275.000,9.166
Perazzo Imóveis,"120,00 m²"," 120,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,508658,23090,,,SCLRN 705 Bloco G,,5,,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sclrn-705-bloco-g-508658,0,570.000,4.750
Imóveis do DF,"140,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,564932,15605,,,SHTN Trecho 1,3,2,2,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-shtn-trecho-1-564932,,1.998.000,14.271
Malbeck Imóveis,"129,00 m²"," 129,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,296412,19379,,,SQN 208,2,4,2,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-208-296412,870,1.750.000,13.565
Casa Nova Imóveis,"137,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,510811,7783,,,SQN 112 Bloco A,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-112-bloco-a-510811,,1.490.000,10.875
Brasnil Empreendimentos Imobiliários,"30,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,243718,1691,,,CLN 209 Bloco C,,1,1,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-cln-209-bloco-c-243718,200,140.000,4.666
Victor Cruz Escritório Imobiliário,"28,00 m²"," 28,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,553387,27313,,,SCLRN 716 Bloco F,,1,,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-sclrn-716-bloco-f-553387,90,195.000,6.964
Brasilis Netimóveis,"75,00 m²"," 75,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,296720,23649,,,SHN Quadra 1 Bloco F,,1,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shn-quadra-1-bloco-f-296720,1.486,999.000,13.320
Públio Imóveis,"120,00 m²"," 120,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,524296,20103,,,SQN 315 Bloco H,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-315-bloco-h-524296,1.071,1.380.000,11.500
Abdala Imóveis,"40,46 m²"," 74,98 m²",01/07/2022,ASA NORTE,BRASÍLIA,561362,16964J,,,SHTN,,1,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shtn-561362,,660.000,16.312
Abadia Baião Imóveis,"270,00 m²"," 270,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,453928,9996,,,SQN 310,3,5,3,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-310-453928,,2.490.000,9.222
BSB 61 Soluções Imobiliárias,"264,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,376214,10425,,,SQN 208 Bloco J,2,4,2,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-208-bloco-j-376214,,0, 
Imobiliária Brasília,"29,52 m²"," 38,57 m²",01/07/2022,ASA NORTE,BRASÍLIA,436533,17829,,,SGAN 914,1,1,,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-sgan-914-436533,337,250.000,8.468
Massuh Imóveis ,"51,00 m²"," 51,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,567303,24825,,,SHN Quadra 5,1,1,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-shn-quadra-5-567303,,498.000,9.764
WRP MALL Imóveis,"78,75 m²",,01/07/2022,ASA NORTE,BRASÍLIA,493633,8951,,,SQN 405 Bloco O,,3,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-405-bloco-o-493633,425,725.000,9.206
Jonnathan,"128,00 m²"," 128,00 m²",01/07/2022,ASA NORTE,BRASÍLIA,538613,22266,,,SQN 316 Bloco F,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-316-bloco-f-538613,900,1.390.000,10.859
CBL Imóveis ,"120,00 m²",,01/07/2022,ASA NORTE,BRASÍLIA,311928,10075,,,SQN 206 Bloco D,1,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-206-bloco-d-311928,,1.150.000,9.583
