anunciante,area_privativa,area_total,atualizacao,bairro,banheiros,cidade,cod_imovel,creci,data_publicacao,dce,endereco,garagem,idade_imovel,quartos,suites,url,valor_condominio,valor_imovel,valor_mt2
Ana Berg,"50,00 m²",,03/07/2022,NORTE,,ÁGUAS CLARAS,513377,22893,,,Rua DAS FIGUEIRAS,1,,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-norte-aguas-claras-df-rua-das-figueiras-513377,,440.000,8.800
Antônio Filho Imobiliária,"60,00 m²"," 60,00 m²",03/07/2022,SUL,,ÁGUAS CLARAS,478826,23921,,,Rua DAS PITANGUEIRAS,1,,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-sul-aguas-claras-df-rua-das-pitangueiras-478826,585,490.000,8.166
Alphaville Imóveis,"83,00 m²"," 129,00 m²",03/07/2022,SUL,,ÁGUAS CLARAS,563182,20382,,,Quadra 207,2,,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-sul-aguas-claras-df-quadra-207-563182,580,725.000,8.734
Jânio Sousa Assessoria Imobiliária,"92,00 m²",,03/07/2022,NORTE,,ÁGUAS CLARAS,476138,13933,,,Avenida Flamboyant,1,,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-norte-aguas-claras-df-avenida-flamboyant-476138,,735.000,7.989
Tatiana Amaro,"65,00 m²",,03/07/2022,SUL,,ÁGUAS CLARAS,472461,20209,,,Avenida Jacarandá,2,,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-sul-aguas-claras-df-avenida-jacaranda-472461,720,510.000,7.846
FALLETTE,"100,00 m²"," 158,00 m²",03/07/2022,SUL,,ÁGUAS CLARAS,442861,15113,,,Quadra 207,2,,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-sul-aguas-claras-df-quadra-207-442861,1.030,660.000,6.600
Welington Corretor,"45,00 m²",,03/07/2022,NORTE,,ÁGUAS CLARAS,531847,24138,,,Rua DAS FIGUEIRAS,2,,2,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-norte-aguas-claras-df-rua-das-figueiras-531847,,320.000,7.111
Atalaia Empreendimentos Imobiliários,"74,00 m²",,03/07/2022,NORTE,,ÁGUAS CLARAS,541221,17841,,,Rua 36,1,,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-norte-aguas-claras-df-rua-36-541221,618,560.000,7.567
Andrezza Teles,"54,00 m²",,03/07/2022,SUL,,ÁGUAS CLARAS,499565,25510,,,Avenida Sibipiruna,1,,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-sul-aguas-claras-df-avenida-sibipiruna-499565,453,450.000,8.333
Martins Andrade,"81,00 m²",,03/07/2022,NORTE,,ÁGUAS CLARAS,446074,24788,,,Rua 12,1,,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-norte-aguas-claras-df-rua-12-446074,680,690.000,8.518
Clayton Souto,"63,00 m²",,03/07/2022,NORTE,,ÁGUAS CLARAS,530915,21802,,,Quadra 101,1,,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-norte-aguas-claras-df-quadra-101-530915,631,480.001,7.619
Lopes JK,"103,00 m²",,03/07/2022,SUL,,ÁGUAS CLARAS,531028,27211,,,Avenida das Araucárias,2,,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-sul-aguas-claras-df-avenida-das-araucarias-531028,,1.028.414,9.984
360 Imóveis Brasília,"33,00 m²",,03/07/2022,SUL,,ÁGUAS CLARAS,537051,25169,,,Avenida Jacarandá,1,,1,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-sul-aguas-claras-df-avenida-jacaranda-537051,301,315.000,9.545
Valdemir Imóveis,"96,00 m²",,03/07/2022,NORTE,,ÁGUAS CLARAS,562915,27491,,,Rua DAS PAINEIRAS,1,,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-norte-aguas-claras-df-rua-das-paineiras-562915,,690.000,7.187
Patricia Barbosa ,"85,00 m²",,03/07/2022,SUL,,ÁGUAS CLARAS,540357,10902,,,Rua COPAIBA,1,,3,2,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-sul-aguas-claras-df-rua-copaiba-540357,650,675.000,7.941
Conect Negócios Imobiliários,"38,00 m²",,03/07/2022,SUL,,ÁGUAS CLARAS,564710,19919,,,Rua 22,1,,1,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-sul-aguas-claras-df-rua-22-564710,342,340.000,8.947
Antônio Filho Imobiliária,"83,00 m²"," 83,00 m²",03/07/2022,SUL,,ÁGUAS CLARAS,529701,23921,,,Quadra 207,2,,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-sul-aguas-claras-df-quadra-207-529701,580,725.000,8.734
Daleprane Inteligência Imobiliária,"112,00 m²"," 112,00 m²",03/07/2022,SUL,,ÁGUAS CLARAS,525577,25937,,,Quadra 204,2,,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-sul-aguas-claras-df-quadra-204-525577,637,850.000,7.589
Durães Imóveis Brokers,"75,00 m²",,03/07/2022,NORTE,,ÁGUAS CLARAS,550992,25227,,,Quadra 107,1,,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-norte-aguas-claras-df-quadra-107-550992,550,660.000,8.800
Simóvel,"69,00 m²",,03/07/2022,NORTE,,ÁGUAS CLARAS,517891,6041,,,Rua 17,1,,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-norte-aguas-claras-df-rua-17-517891,,529.000,7.666
Coelho Imóveis Consultoria Prime,"70,00 m²"," 82,00 m²",03/07/2022,SUL,,ÁGUAS CLARAS,555772,25138,,,Rua 37,1,,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-sul-aguas-claras-df-rua-37-555772,580,630.000,9.000
Dr Muniz Imoveis e construções,"101,25 m²"," 101,25 m²",03/07/2022,NORTE,,ÁGUAS CLARAS,217485,21710,,,Rua 25,2,,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-norte-aguas-claras-df-rua-25-217485,,888.504,8.775
Daleprane Inteligência Imobiliária,"116,00 m²"," 116,00 m²",03/07/2022,NORTE,,ÁGUAS CLARAS,470132,25937,,,Rua 28,2,,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-norte-aguas-claras-df-rua-28-470132,987,920.000,7.931
Bruno Novais,"97,00 m²",,03/07/2022,NORTE,,ÁGUAS CLARAS,376265,12406,,,Rua DAS CARNAUBAS,2,,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-norte-aguas-claras-df-rua-das-carnaubas-376265,,767.000,7.907
Ferola Empreendimentos Imobiliários,"116,00 m²"," 174,00 m²",03/07/2022,NORTE,,ÁGUAS CLARAS,475463,11476,,,Quadra 104,2,,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-norte-aguas-claras-df-quadra-104-475463,840,788.000,6.793
Imobiliária Silvana Dias,"55,00 m²",,03/07/2022,SUL,,ÁGUAS CLARAS,387393,012725,,,Rua 31,1,,2,1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-sul-aguas-claras-df-rua-31-387393,,532.900,9.689
Cláudio Werneck Imóveis,"97,00 m²"," 138,00 m²",03/07/2022,NORTE,,ÁGUAS CLARAS,478748,27352,,,Avenida Parque Águas Claras,1,,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-norte-aguas-claras-df-avenida-parque-aguas-claras-478748,710,699.000,7.206
Dourado Imóveis,"138,60 m²"," 195,76 m²",03/07/2022,NORTE,,ÁGUAS CLARAS,527394,27088,,,Quadra 103,2,,4,2,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-norte-aguas-claras-df-quadra-103-527394,1.250,1.090.000,7.864
GM Imóveis,"103,00 m²",,03/07/2022,SUL,,ÁGUAS CLARAS,517358,23202,,,Avenida das Araucárias,2,,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-sul-aguas-claras-df-avenida-das-araucarias-517358,,920.000,8.932
Reginaldo Corretor,"44,00 m²"," 68,00 m²",03/07/2022,SUL,,ÁGUAS CLARAS,404131,20516,,,Avenida Sibipiruna,1,,1,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-sul-aguas-claras-df-avenida-sibipiruna-404131,480,396.000,9.000
Vieira Costa Imobiliária,"150,00 m²"," 150,00 m²",03/07/2022,NORTE,,ÁGUAS CLARAS,473325,25735,,,Avenida Flamboyant,2,,4,1,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-norte-aguas-claras-df-avenida-flamboyant-473325,850,1.350.000,9.000
Abdala Imóveis,"44,00 m²",,03/07/2022,SUL,,ÁGUAS CLARAS,471572,16964J,,,Rua 34,2,,1,1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-sul-aguas-claras-df-rua-34-471572,502,450.000,10.227
Ferola Empreendimentos Imobiliários,"158,00 m²"," 182,00 m²",03/07/2022,SUL,,ÁGUAS CLARAS,561012,11476,,,Avenida das Araucárias,2,,4,3,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sul-aguas-claras-df-avenida-das-araucarias-561012,900,1.670.000,10.569
Ferola Empreendimentos Imobiliários,"80,00 m²"," 90,00 m²",03/07/2022,SUL,,ÁGUAS CLARAS,380953,11476,,,Rua DAS PAINEIRAS,1,,3,1,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-sul-aguas-claras-df-rua-das-paineiras-380953,489,635.000,7.937
